Plot number,Treatment,Plot area
1,Removal,3.025
2,Retention,3.792
3,Retention,3.601
4,Removal,4.725
5,Retention,4.241
6,Removal,5.263
7,Retention,4.153
8,Retention,3.851
9,Retention,3.229
10,Removal,3.634
11,Removal,4.631
12,Retention,4.105
13,Retention,4.326
14,Removal,4.272
15,Removal,3.627
16,Removal,3.067
17,Retention,3.291
18,Retention,3.95
19,Removal,4.391
20,Removal,4.36
