Plot ,Treatment,Time point,Algal taxa,Points,Points within dead coral,Total points
7,Retention,2020,Halimeda,0,0,821
7,Retention,2021,Lobophora,177,160,821
7,Retention,2021,Asparagopsis,0,0,821
7,Retention,2021,Turbinaria,0,0,821
7,Retention,2021,Halimeda,0,0,821
7,Retention,2022,Lobophora,80,69,821
7,Retention,2022,Asparagopsis,94,2,821
7,Retention,2022,Turbinaria,0,0,821
7,Retention,2022,Halimeda,6,4,821
7,Retention,2023,Lobophora,51,36,821
7,Retention,2023,Asparagopsis,111,79,821
7,Retention,2023,Turbinaria,3,0,821
7,Retention,2023,Halimeda,24,15,821
8,Retention,2019,Lobophora,1,1,801
8,Retention,2019,Asparagopsis,7,2,801
8,Retention,2019,Turbinaria,0,0,801
8,Retention,2019,Halimeda,0,0,801
8,Retention,2020,Lobophora,165,141,801
8,Retention,2020,Asparagopsis,5,5,801
8,Retention,2020,Turbinaria,0,0,801
8,Retention,2020,Halimeda,0,0,801
8,Retention,2021,Lobophora,182,163,801
8,Retention,2021,Asparagopsis,0,0,801
8,Retention,2021,Turbinaria,0,0,801
8,Retention,2021,Halimeda,0,0,801
8,Retention,2022,Lobophora,66,58,801
8,Retention,2022,Asparagopsis,21,17,801
8,Retention,2022,Turbinaria,0,0,801
8,Retention,2022,Halimeda,15,12,801
8,Retention,2023,Lobophora,39,34,801
8,Retention,2023,Asparagopsis,66,51,801
8,Retention,2023,Turbinaria,3,0,801
8,Retention,2023,Halimeda,16,10,801
9,Retention,2019,Lobophora,0,0,836
9,Retention,2019,Asparagopsis,0,0,836
9,Retention,2019,Turbinaria,0,0,836
9,Retention,2019,Halimeda,0,0,836
9,Retention,2020,Lobophora,247,219,836
9,Retention,2020,Asparagopsis,23,22,836
9,Retention,2020,Turbinaria,0,0,836
9,Retention,2020,Halimeda,0,0,836
9,Retention,2021,Lobophora,123,116,836
9,Retention,2021,Asparagopsis,8,2,836
9,Retention,2021,Turbinaria,0,0,836
9,Retention,2021,Halimeda,0,0,836
9,Retention,2022,Lobophora,93,88,836
9,Retention,2022,Asparagopsis,5,4,836
9,Retention,2022,Turbinaria,0,0,836
9,Retention,2022,Halimeda,0,0,836
9,Retention,2023,Lobophora,79,62,836
9,Retention,2023,Asparagopsis,21,17,836
9,Retention,2023,Turbinaria,3,1,836
9,Retention,2023,Halimeda,5,3,836
10,Removal,2019,Lobophora,3,3,836
10,Removal,2019,Asparagopsis,1,0,836
10,Removal,2019,Turbinaria,0,0,836
10,Removal,2019,Halimeda,4,0,836
10,Removal,2020,Lobophora,77,35,836
10,Removal,2020,Asparagopsis,0,0,836
10,Removal,2020,Turbinaria,0,0,836
10,Removal,2020,Halimeda,0,0,836
10,Removal,2021,Lobophora,49,31,836
10,Removal,2021,Asparagopsis,0,0,836
10,Removal,2021,Turbinaria,0,0,836
10,Removal,2021,Halimeda,4,1,836
10,Removal,2022,Lobophora,26,16,836
10,Removal,2022,Asparagopsis,12,1,836
10,Removal,2022,Turbinaria,0,0,836
10,Removal,2022,Halimeda,13,1,836
10,Removal,2023,Lobophora,4,4,836
10,Removal,2023,Asparagopsis,39,4,836
10,Removal,2023,Turbinaria,0,0,836
10,Removal,2023,Halimeda,14,4,836
11,Removal,2019,Lobophora,0,0,904
11,Removal,2019,Asparagopsis,0,0,904
11,Removal,2019,Turbinaria,0,0,904
11,Removal,2019,Halimeda,0,0,904
11,Removal,2020,Lobophora,68,46,904
11,Removal,2020,Asparagopsis,0,0,904
11,Removal,2020,Turbinaria,0,0,904
11,Removal,2020,Halimeda,0,0,904
11,Removal,2021,Lobophora,7,4,904
11,Removal,2021,Asparagopsis,4,4,904
11,Removal,2021,Turbinaria,0,0,904
11,Removal,2021,Halimeda,0,0,904
11,Removal,2022,Lobophora,31,29,904
11,Removal,2022,Asparagopsis,13,1,904
11,Removal,2022,Turbinaria,0,0,904
11,Removal,2022,Halimeda,0,0,904
11,Removal,2023,Lobophora,9,5,904
11,Removal,2023,Asparagopsis,50,7,904
11,Removal,2023,Turbinaria,0,0,904
11,Removal,2023,Halimeda,5,2,904
12,Retention,2019,Lobophora,6,6,756
12,Retention,2019,Asparagopsis,6,0,756
12,Retention,2019,Turbinaria,0,0,756
12,Retention,2019,Halimeda,0,0,756
12,Retention,2020,Lobophora,203,177,756
12,Retention,2020,Asparagopsis,6,6,756
12,Retention,2020,Turbinaria,0,0,756
12,Retention,2020,Halimeda,0,0,756
12,Retention,2021,Lobophora,110,95,756
12,Retention,2021,Asparagopsis,15,15,756
12,Retention,2021,Turbinaria,1,0,756
12,Retention,2021,Halimeda,0,0,756
